GSISID,Number,Position
32069,36,SS
30095,11,WR
31586,22,FS
29520,35,SS
30517,51,OLB
32697,36,FS
32250,18,WR
27978,54,ILB
31666,44,OLB
27791,44,RB
31919,23,SS
27547,35,CB
31087,29,FS
33802,80,WR
33928,27,CB
33820,66,OLB
31270,96,NT
33140,48,ILB
32592,20,SS
32655,78,DE
28202,24,RB
33566,36,CB
32372,10,WR
33874,23,CB
32875,20,CB
32084,58,OLB
31380,21,CB
29681,20,CB
33210,54,LS
31268,19,WR
32279,37,DB
29553,39,FS
33756,47,CB
31746,41,RB
28601,27,SS
30384,53,OLB
32761,90,DT
31263,54,ILB
33025,46,RB
32806,39o,RB
28443,51,OLB
30283,23,CB
26281,82,TE
32602,14,WR
32671,97,DE
33963,92,NT
30449,94,DT
30917,43,CB
30396,50,OLB
29560,27,CB
32537,83,WR
30562,21,CB
29566,53,ILB
32743,46o,TE
33261,83,WR
27957,21,CB
33004,30,RB
33886,90,OLB
33041,32,CB
31950,58,OLB
30502,50,OLB
33063,49,LS
27539,41,SS
22923,23,FS
30317,20,FS
33704,49d,OLB
24220,54,OLB
27998,29,CB
25942,92,DE
31844,22d,SS
33599,19,WR
31953,11,WR
31459,28,RB
33733,89,WR
31796,28,CB
33019,31,CB
32739,82,WR
32750,75,DE
33555,10,WR
33919,11,WR
33950,22,RB
33406,50,ILB
31683,38d,CB
33450,56,MLB
29972,64,DT
33664,31o,RB
32775,14,WR
31576,90,OLB
33415,27,FS
31929,54,OLB
33124,23d,CB
30317,47,FS
32610,62,DE
32138,98,NT
33870,94,DE
30091,15,WR
31208,57,DE
33114,13,WR
26858,9,K
30300,13,WR
31394,28,CB
32611,35o,RB
29530,28,CB
29739,5,P
27197,47,LS
30187,86,WR
31427,51,ILB
32195,28,CB
31397,36,SS
32452,44,OLB
26910,20,CB
33997,43,OLB
30634,49,OLB
31556,44,DE
33302,38,FS
25402,94,OLB
31754,37,FS
30709,83,WR
29607,56,OLB
33577,47,OLB
31262,25,CB
32467,48,LB
29890,64,NT
32389,20,CB
24535,14,WR
30576,56,DT
33270,56,OLB
32128,17,WR
32707,17,WR
26182,19,WR
29177,40D,SS
34020,49,LB
33400,16,P
32952,57,DE
32062,81,TE
32769,26,CB
29087,24,CB
33155,38d,SS
32471,59,OLB
30247,37o,RB
33944,42,OLB
32883,70,DE
33111,10,WR
32820,48,ILB
32403,38,CB
31438,21,CB
30516,19,WR
28497,17,WR
32358,5,WR
32732,83,WR
33093,90,DE
32162,99,DT
32382,22,FS
33363,27,CB
31484,86,TE
32164,91,DE
33906,41,RB
32625,82,WR
28536,42,LB
33051,93,DT
31946,45,LB
30119,49,ILB
31050,96,OLB
33568,27,CB
33913,93,NT
32593,20o,RB
33425,30,CB
29280,33,CB
33881,88,TE
32480,65,DE
28224,25,CB
28006,91,MLB
31066,34,RB
28172,57,OLB
32441,13,WR
29215,43,FS
33364,8,P
28238,49,TE
32114,48,OLB
31793,39,RB
32564,57d,OLB
32428,49,OLB
33853,37,CB
31277,32,RB
32515,46,TE
27882,25,CB
28121,22,RB
30986,93,DT
31981,76,DT
32048,31,RB
29634,84,TE
29975,42,FS
31058,45,ILB
33504,42,FB
31382,14,WR
30289,30,SS
29570,43,FS
31815,50,OLB
26578,33,FS
33208,87,TE
28620,94,OLB
25470,95,DE
32534,41o,TE
31284,64,C
32153,54,OLB
31829,36,CB
33832,28,S
32581,22,CB
31595,46,FB
30566,36,FS
29825,27,CB
30737,16,WR
30074,69,T
32042,35,FS
30503,57,DE
23740,45,LS
32106,29,CB
29297,39,FS
33700,52,OLB
27136,35,CB
32848,47,CB
33387,47,TE
30525,11,WR
32983,54,OLB
32063,22,RB
32840,45,LB
33093,74,DE
32831,38o,RB
32797,21,CB
29384,31,RB
28979,90,LB
32110,51,OLB
31103,98,DT
32583,48o,TE
32208,15,WR
32849,36,CB
31239,38,CB
33645,41,CB
31991,20,CB
29942,28,CB
26739,11,WR
31241,59,OLB
31035,85,TE
31999,59,OLB
32174,01o,WR
33549,42,OLB
32799,52,OLB
31123,24o,RB
28996,35,CB
32146,48,OLB
28171,93,DT
33531,49o,LS
28581,42,FB
25513,38,FS
33470,34,FS
33990,87,TE
27072,30d,SS
32443,53o,C
32112,14,WR
27705,42,CB
33819,20,SS
27653,43,FS
33435,41,CB
33477,46,OLB
32122,47,RB
30557,45,SS
32181,96,OLB
30805,85,TE
31208,40,DE
31413,20O,RB
33665,44,LB
31058,54,ILB
31894,38,S
31525,48,LB
31756,39d,S
28041,49,OLB
31862,49d,ILB
27862,93,DE
27187,45,LS
33298,45,DE
33533,38,CB
33979,85,TE
32916,42,CB
33872,33,SS
32776,32d,CB
31261,33,FS
31209,34,RB
32975,40,RB
28536,56,LB
28063,22,RB
33924,94,DT
32416,99,DE
33953,49o,TE
32864,48,TE
33930,20,CB
23534,2,P
26243,95,DE
29793,85,TE
33626,93,DT
32935,16,WR
30963,35,CB
30283,41,CB
32371,32,RB
32740,44,FB
28027,20,CB
30387,51,DE
31048,93,DT
30187,19,WR
31276,23,CB
32517,43,FS
31438,24,CB
31895,42,SS
33789,22,RB
33747,83,WR
30197,44,OLB
33296,40,RB
32210,55,DE
33680,85,TE
28011,39,RB
33457,59,ILB
32190,87,TE
30443,80,TE
31057,25,RB
31620,93,NT
30896,7,K
32072,83,TE
31878,31,CB
33461,52,ILB
30785,49,FB
31186,27,CB
32553,16,WR
32928,44,MLB
28497,11,WR
31020,27,CB
30518,96,DE
29250,58,OLB
32754,41,DB
27868,91,OLB
31121,85,TE
33633,19,WR
33887,56,OLB
28142,85,TE
33725,30,RB
30864,75,DE
31747,14,WR
30671,9,WR
32978,31,CB
32667,74,DE
30442,51,DE
29879,47,LS
26714,57,LS
31884,85,TE
32897,34,FB
30041,23,CB
30487,27,CB
30020,41,FS
32793,24,SS
32353,40,CB
32355,80,WR
32659,82,WR
30132,96,DT
27840,36,CB
33155,39D,SS
27375,26,CB
33572,39d,CB
31558,87,TE
33349,30,RB
32577,27o,RB
33503,37,CB
31847,53,OLB
33252,17,WR
33798,86,TE
29033,18,WR
31961,53,MLB
31954,85,WR
29818,1,WR
30317,43,FS
32363,39d,S
28702,13,WR
30425,95,DE
31156,69,LS
33374,44,FB
28093,84,TE
30665,49,SS
32517,20,FS
25406,22,FS
33926,26,CB
30741,45,FB
30757,98,NT
32765,13,WR
28133,55,OLB
32353,28,CB
29676,24,CB
28994,85,TE
31960,01o,WR
32694,89,WR
26725,55,OLB
31044,87,TE
31552,32,CB
33017,12,WR
32934,29,CB
27495,90,DE
33386,81,WR
33661,66,DT
31190,36o,RB
34050,36,DB
28995,87,WR
32515,84,TE
32584,1,K
30050,54,OLB
29415,17,WR
33024,98,DE
27139,86,TE
28952,2,P
32724,1,WR
31610,84,TE
33333,38,DB
32718,45,OLB
30109,53,OLB
29414,82,TE
31607,96,DE
28564,24,FS
31549,13,WR
33638,45,ILB
32052,56,DE
30404,25o,RB
33762,41,RB
33307,84,WR
32810,24,CB
32836,37,CB
32890,24,CB
32188,16,TE
32910,56,ILB
32090,36,RB
29414,44,TE
31026,58,ILB
33066,99,NT
32678,37d,DB
33912,75,DE
30033,52,OLB
33187,39,CB
31911,45,LS
29794,53,ILB
31687,25,RB
33839,12,WR
27215,82,TE
27647,32,FS
25920,50,ILB
30993,59,OLB
29792,55,OLB
33840,6,WR
34038,17,WR
28121,31w,RB
31208,42,DE
33147,50,ILB
32786,25,FS
29119,89,TE
22824,8,P
32195,35,CB
26142,95,DE
33122,91,DE
33812,33d,CB
33110,89,TE
32458,5,WR
33975,34,RB
33829,42d,S
29799,55,DE
32839,84,WR
30274,19,WR
32762,95,DE
30287,38,RB
33267,40,CB
32498,41,CB
32115,12,WR
32137,33,DB
32109,58,MLB
31085,45,FB
31738,36,SS
32755,18,WR
33911,13,WR
31027,49,OLB
28334,30,CB
31595,46o,FB
31838,45d,LB
28263,18,WR
29888,35,CB
33800,38o,RB
32262,21,SS
22839,51,OLB
32470,54,OLB
33494,57,ILB
31482,47,OLB
30530,25,SS
29901,5,CB
31232,21,CB
31687,31,RB
32586,48,LB
31259,22,CB
32470,58,OLB
32937,83,WR
32689,85,TE
31754,22D,FS
32951,11,WR
32889,91,DT
29829,28,CB
28954,20,SS
32815,81,WR
32767,36,SS
31360,53,OLB
33533,20D,CB
31768,33O,RB
31512,35,FS
30106,93,DT
31397,25,SS
33370,33,CB
29310,57,DE
33554,33,FS
31948,96,DE
30671,89,WR
32120,87,TE
33350,44,CB
30117,33,RB
32475,6,WR
31521,37,CB
33644,48d,LB
33112,84,TE
32323,39,ILB
29248,59,MLB
27245,57,OLB
30395,35,FS
32571,57,OLB
32830,41d,S
29975,42d,FS
33993,38d,DB
30491,24,SS
33876,96,DE
32623,44,OLB
32523,81,TE
30518,44,DE
31743,31,RB
30434,98,ILB
33681,84,WR
31009,1,WR
31686,60,DE
33861,40,CB
33894,43,FS
30228,21,CB
31151,20,CB
27135,82,TE
26180,21,CB
32581,35,CB
32860,92,DE
32361,92,OLB
32559,84,WR
32290,38,CB
31711,84,TE
31504,17,WR
33382,80,WR
27014,58,MLB
33021,19,WR
27691,19,WR
32322,38,FS
31955,43d,CB
33341,44,FB
33127,15,WR
26857,57,OLB
29958,25,FS
26844,65,LS
30121,95,DE
31688,22,CB
33307,6,WR
32786,41,FS
33280,22,RB
32776,32,CB
33029,32o,RB
24417,4,P
31167,80,TE
32438,39,CB
33090,86,TE
29123,7,P
30474,17,WR
32974,84,WR
31060,13,WR
31566,98,DE
30734,47,CB
30322,29,CB
31269,38,CB
30371,44d,DE
34046,9,DB
27064,26,CB
28903,88,TE
31707,50,ILB
28943,51,ILB
32641,38,CB
31267,40,SS
32933,32,CB
31262,23,CB
31732,86,TE
32479,45,FS
27793,84,WR
33736,39,FB
30574,73,DT
26512,90,DT
33826,43,CB
31394,33,CB
30062,23,CB
28008,50,OLB
30465,38,RB
32123,18,WR
29529,30,CB
28037,50,OLB
33622,16,WR
31363,3,P
31172,99,DT
33782,57,DE
29384,38,RB
33003,1,WR
28409,32,RB
30092,6,P
32705,84,WR
26964,98,DT
33332,87,TE
32939,48,SS
33678,41,MLB
32008,17,WR
27686,98,DT
32639,35,RB
32971,31,FS
31242,93,DT
24330,41,FS
31328,25,CB
33089,2,K
31972,17,WR
29815,46d,OLB
32745,45,TE
30559,26,SS
28202,25o,RB
33580,40,OLB
32987,36,CB
32740,97,FB
31257,10,WR
31509,54,OLB
27442,51,OLB
31635,14,WR
31065,94,DE
32484,68,OLB
32270,81,WR
30069,58,DE
30557,26,SS
32810,37,CB
33657,48,LB
29061,51,MLB
30080,42,SS
32715,40,S
33247,56,LB
32596,34,CB
25945,58,ILB
31968,45,TE
32798,34,CB
33738,53d,LB
33617,97,DT
32997,84,TE
28249,15,WR
31521,44,CB
33515,40o,RB
26151,21,CB
30558,52,OLB
29440,47o,TE
32924,50,ILB
30668,35,RB
30294,23,SS
33758,78,DE
33034,12,WR
30871,78,DT
27842,27,FS
29673,15,WR
33506,59,LB
31951,88,TE
31803,49,FB
32401,59,OLB
31890,53d,OLB
32682,46d,MLB
32157,39,CB
31787,84,WR
23368,91,DE
34006,59,LB
27985,84,TE
30743,18,WR
31815,52,OLB
31614,57,OLB
27736,23,FS
27763,41,CB
29676,21,CB
29068,40,FB
33778,36,S
26176,87,WR
27023,23,FS
32817,85,WR
33259,82,WR
26664,8,P
28664,6,P
31016,31,CB
32857,48o,LS
33731,49,SS
33299,31g,CB
32456,30d,CB
32938,75,NT
32007,47d,CB
29578,46d,MLB
32832,16,WR
31791,52,MLB
32312,80,WR
31079,16,P
28249,16,WR
33697,43,CB
30465,24,RB
30541,38,CB
33114,88,WR
29091,79,T
33073,90,DE
32770,43,CB
28114,17,WR
32573,48,ILB
29289,54,ILB
32780,24,RB
33146,14,WR
31563,33,CB
27232,38,FS
33046,95,DE
28345,48,RB
21146,93,DE
31932,16,WR
29255,54,MLB
33260,43,LS
33080,87,TE
30392,56,MLB
26156,41,CB
24278,55,DE
32221,56,OLB
33930,34,CB
26989,98,OLB
33041,25d,CB
33700,58,OLB
29319,15,WR
32839,15,WR
33022,37,SS
33006,85,WR
32782,28,RB
32902,27o,RB
33699,03o,RB
29112,56,DE
31119,33d,CB
33233,48,FS
33241,39d,S
30070,73,DT
33244,60d,LB
29510,34o,RB
28908,31,SS
33927,43,SS
33524,20,CB
29931,48,FB
31793,35,RB
32881,11,WR
31363,08d,P
31042,88,TE
31596,55,MLB
25495,90,DT
32557,86,TE
32323,45,ILB
30488,95,LB
31557,97,DT
33031,49,LB
32670,53,OLB
31514,11,WR
30711,32o,RB
33260,42,LS
30663,83,WR
31393,31,SS
29050,47,CB
33941,03d,FS
33264,06o,WR
27737,20,CB
31945,50,ILB
31997,95,DE
27124,26,FS
28249,10,WR
33669,3,WR
32351,2,WR
33576,85,TE
29294,46,CB
33803,12,WR
31960,81,WR
31371,90,DE
33619,3,P
30699,29,CB
31333,21,FS
30124,48,MLB
30087,30,SS
32485,30d,CB
32454,27,SS
32044,41,LB
31959,23,RB
33938,51,OLB
31944,24d,CB
32626,81,WR
27860,21,CB
29696,31,CB
33441,14,WR
30990,15,WR
32943,9,P
33113,59,MLB
33351,56,DT
32805,57,OLB
33274,25d,FS
30932,16,WR
33948,30,RB
30281,53,OLB
32738,38,CB
32894,53,ILB
30514,81,TE
29130,54,OLB
33915,56,OLB
30695,46,DB
30210,47,MLB
31354,57,ILB
28838,84,TE
30511,98,DT
32637,33,FS
28368,42,OLB
31972,15,WR
30529,54,ILB
33115,42o,LS
33595,79,DE
31357,42,CB
30856,12,WR
33420,52,MLB
33858,81,TE
30383,30,SS
32399,35,FS
30963,38,CB
29384,43,RB
33829,42,S
32832,15,WR
32598,33,CB
32619,57,OLB
31723,44,LB
31000,57,OLB
32801,83,WR
29955,53,OLB
33539,40,MLB
30463,53,OLB
32396,99,DT
26240,27,SS
32116,93,DT
31895,43d,SS
28374,86,LS
29414,84,TE
30412,29,SS
26027,44,LS
31177,96,DE
32065,5,P
32540,39,RB
32141,87,TE
25828,59,ILB
33389,34d,S
32298,34,RB
30061,86,TE
31331,35,CB
32905,46d,DE
33344,56,MLB
27704,54,ILB
33218,2,P
32914,46o,TE
33854,48,RB
32660,92,DT
31937,24,CB
30768,46,ILB
32932,85,TE
31102,35,RB
28662,39,CB
29958,30,FS
32185,81,TE
33072,94,OLB
29299,23,CB
31264,98,DE
33059,32,SS
30465,34,RB
31793,38,RB
29931,39o,FB
29660,16,WR
26502,99,DT
29692,9,P
31390,34o,RB
21140,56,DE
30994,90,NT
31059,28,FS
30695,26,DB
32377,39,RB
31697,87,WR
28011,4,RB
32685,86,WR
32766,78,T
30119,94,ILB
27195,25,SS
31072,40,SS
32094,44,LB
32060,57,OLB
33417,84,WR
33652,38,CB
31018,59,ILB
29000,11,WR
27416,42,SS
31315,14,WR
32114,53,OLB
34001,37,CB
32975,31,RB
27949,99,DE
32350,39d,SS
30640,36,SS
32926,15,WR
31565,99,DE
31922,82,TE
32942,29,CB
31232,32,CB
32934,33,CB
32815,19,WR
33316,26,FS
30449,99,DT
33084,38,CB
30470,89,TE
31788,88,TE
32390,41,CB
30883,97,DT
31332,33,RB
33308,22,RB
27440,37,CB
32732,85,WR
33525,52,OLB
25503,51,LS
30675,22,CB
32946,21,CB
28029,50,ILB
26280,39,CB
31682,28,RB
32628,29,FS
23173,92,LS
31328,35d,CB
31025,12,WR
32502,52,ILB
31700,35d,CB
27977,56,OLB
33677,2,S
32730,55,DE
26714,57S,LS
30535,42d,CB
33952,90,NT
31072,42,SS
33516,6,WR
33197,36o,RB
31116,38d,CB
30982,39,CB
33707,39,CB
30543,27,SS
32365,15,WR
26852,45o,FB
32758,28,CB
32674,50,OLB
31070,29,FS
33719,43o,RB
32892,59,OLB
33058,59,ILB
32276,88,LS
32214,81,TE
32955,51,OLB
32986,88,TE
31001,83,WR
31339,10,WR
31308,58,ILB
33937,84,WR
31931,49,OLB
33581,33,RB
33760,42,RB
31616,58,ILB
28368,49g,OLB
30114,33,FS
32423,11,WR
30669,12,WR
29269,12,WR
33620,89,WR
31729,57,OLB
27977,48,OLB
33254,63d,DE
33817,31O,RB
31484,82,TE
33421,82,TE
33024,93,DE
33851,46,LB
33586,39,CB
29205,39,RB
31948,95,DE
29129,10,WR
32444,41,OLB
33387,48o,TE
33246,48,TE
31743,33,RB
33791,40,FS
31414,36,CB
33818,31D,S
33064,99,DE
31982,75,DE
30615,41,LS
33462,30,CB
27187,43o,LS
33512,27,SS
29252,91,DE
32227,82,TE
33001,35,SS
28063,26,RB
33128,48,LS
34016,37,RB
30555,95,DE
30864,97,DE
33582,98,DT
34023,17,WR
31895,40,SS
32201,50,MLB
26516,4,P
33392,48d,OLB
32171,52,MLB
27218,43,RB
33132,20D,FS
33435,31,CB
31599,34,RB
32942,45,CB
30119,58,ILB
31176,24,CB
31357,29,CB
33527,35,SS
27725,81,TE
31884,82,TE
33918,31,CB
32708,59,LB
32734,57,OLB
32980,14,WR
31762,45,OLB
33572,39,CB
32620,37,SS
32405,64o,G
33364,5,P
30170,45,FS
33527,34d,SS
30710,88,TE
31555,32,CB
30241,95,OLB
31071,97,DT
32753,46d,LS
33824,95,LB
29691,26,FS
28198,44,RB
32929,47,OLB
30767,31,SS
28445,38,FS
29208,95,DT
31617,86,TE
33903,27,SS
33021,15,WR
26142,56,DE
33445,50,OLB
33854,44,RB
31102,39,RB
29394,11,WR
34010,89,TE
31801,11,WR
32342,6,WR
33606,51,ILB
32133,23,RB
33961,53,OLB
27114,6,P
30135,19,WR
33954,55,ILB
30807,6,WR
33227,39d,CB
33449,9,WR
32491,49,OLB
